s;w
1903;136
1904;203
1905;159
1906;182
1907;125
1908;138
1909;171
1910;140
1911;170
1912;115
1913;117
1914;177
1915;134
1916;122
1917;180
1918;134
1919;97
1920;75
1921;162
1922;148
1923;144
1924;177
1925;145
1926;193
1927;153
1928;137
1929;116
1930;162
1931;166
1932;125
1933;151
1934;138
1935;168
1936;93
1937;150
1938;114
1939;146
1940;136
1941;131
1942;137
1943;124
1944;161
1945;170
1946;154
1947;154
1948;123
1949;167
1950;144
1951;122
1952;150
1953;135
1954;138
1955;185
1956;120
1957;127
1958;127
1959;118
1960;129
1961;129
1962;167
1963;132
1964;168
1965;121
1966;167
1967;136
1968;122
1969;140
1970;170
1971;178
1972;165
1973;160
1974;131
1975;160
1976;153
1977;154
1978;164
1979;134
1980;172
1981;153
1982;148
1983;152
1984;137
1985;198
1986;115
1987;170
1988;156
1989;188
1990;137
1991;149
1992;174
1993;125
1994;123
1995;166
1996;145
1997;127
1998;148
1999;148
2000;158
2001;125
2002;155
2003;163
2004;164
2005;140
2006;164
2007;164
2008;135
2009;135
2010;153
2011;135
2012;144
2013;144
2014;132
2015;148
2016;155
2017;149
2018;149
2019;137
2020;142
2021;187
2022;171
2023;182
2024;164
2025;155
2026;177
2027;100
2028;158
2029;245
2030;245
2031;196
2032;215
2033;157
2034;196
2035;170
2036;115
2037;124
2038;197
2039;134
2040;168
2041;120
2042;191
2043;85
2044;132
2045;143
2046;187
2047;113
2048;150
2049;102
2050;182
2051;108
2052;174
2053;106
2054;124
2055;149
2056;132
2057;175
2058;101
2059;143
2060;151
2061;111
2062;127
2063;159
2064;111
2065;149
2066;116
2067;149
2068;112
2069;121
2070;122
2071;147
2072;125
2073;178
2074;102
2075;82
2076;149
2077;160
2078;143
2079;109
2080;158
2081;130
2082;171
2083;119
2084;157
2085;184
2086;133
2087;179
2088;115
2089;128
2090;174
2091;129
2092;168
2093;105
2094;125
2095;125
2096;134
2097;129
2098;156
2099;174
2100;104
2101;122
2102;140
2103;128
2104;114
2105;144
2106;121
2107;147
2108;126
2109;167
2110;136
2111;125
2112;134
2113;118
